absolute_path,size_bytes,sha256_hash
/Users/dantopa/.julia/packages/Interpolations/91PhN/doc/Interpolations_algebra.nb,47841,4f14c9af9e5ecbe923512130dc8bc9ac9e8265e33617450edaaa9726c99bfa60
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/PlotFunctions.nb",65984,03ce163248defd84cdedcc5f5603db983940dff744f158f28fc280f44b153547
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/Greetings.nb",57160,9c2db432e27b82e118beb3d8185201e8c66f3274a471accaace048f9238bca2b
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/RGBColorSelector.nb",52914,5336db668cd1777fb3db9f4f5998956c70f15daa7d1dc36186bc2359921e5502
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/HowToUse.nb",136298,d9357da50c029ed93c6dc876e45fc0816db88e106691fb55705f99208ed8c487
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/QuickTips.nb",70314,436d92fe0ea15855c235eaa59fc9b75ff65aa765d7701adcabd1ef6ea24ff4ae
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/ColorSelector.nb",47285,b814b9390ab1f9ef724906bcaafa66cb8d15f8c450bb07ba4d3b13b956b3cf5c
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/Troubles.nb",103309,18a89d6f113ce386485c3b94f513791c0f75a9e2de56592b2ae57bf67993962a
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/Acknowledgments.nb",56496,1aaa796810acbf8f9bce982cfedde6f75572b472f42ed11c1355d4846d062e3d
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/MGMIndex.nb",51184,fff4074a8ae67d287a31f2e3ee1a5114753d8ea721809e7734e280b8c6cd4702
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/MGMContents.nb",796370,e9dcd76ec2624995afed4640894a6028663d0b7b878ed785f5301124053cf82d
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Documentation/English/LicenseAgreement.nb",60746,c856679e5121e8853d0940e02824bee98becad4e85f16ad621bbb7e8febbae62
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/StartHere.nb",790483,341f6b365f422d633dee884999d542232b6ef7beafdc64564fbc3b2201a9a5d2
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.02.MatrixAction/MGM.02.2.Tutorials.nb",105397,8a97715367bd2590f22d691877af0e09242669384bdee2f20641ff1c34bb7875
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.02.MatrixAction/MGM.02.1.Basics.nb",137112,64cabf7ba21924ba398e55619467b832afba7a265cb60b60bcfec447de04aa11
