0.0 [0.0, 0.0, 0.0] [15.0, 15.0, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.1 [0.1, 0.0, 0.0] [14.9, 14.9, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.2 [0.2, 0.0, 0.0] [14.8, 14.8, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.30000000000000004 [0.30000000000000004, 0.0, 0.0] [14.700000000000001, 14.700000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.4 [0.4, 0.0, 0.0] [14.600000000000001, 14.600000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.5 [0.5, 0.0, 0.0] [14.500000000000002, 14.500000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.6000000000000001 [0.6, 0.0, 0.0] [14.400000000000002, 14.400000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.7000000000000001 [0.7, 0.0, 0.0] [14.300000000000002, 14.300000000000002, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.8 [0.7999999999999999, 0.0, 0.0] [14.200000000000003, 14.200000000000003, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
0.9 [0.8999999999999999, 0.0, 0.0] [14.100000000000003, 14.100000000000003, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.0 [0.9999999999999999, 0.0, 0.0] [14.000000000000004, 14.000000000000004, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.1 [1.0999999999999999, 0.0, 0.0] [13.900000000000004, 13.900000000000004, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.2000000000000002 [1.2, 0.0, 0.0] [13.800000000000004, 13.800000000000004, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.3 [1.3, 0.0, 0.0] [13.700000000000005, 13.700000000000005, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.4000000000000001 [1.4000000000000001, 0.0, 0.0] [13.600000000000005, 13.600000000000005, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.5 [1.5000000000000002, 0.0, 0.0] [13.500000000000005, 13.500000000000005, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.6 [1.6000000000000003, 0.0, 0.0] [13.400000000000006, 13.400000000000006, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.7000000000000002 [1.7000000000000004, 0.0, 0.0] [13.300000000000006, 13.300000000000006, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.8 [1.8000000000000005, 0.0, 0.0] [13.200000000000006, 13.200000000000006, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
1.9000000000000001 [1.9000000000000006, 0.0, 0.0] [13.100000000000007, 13.100000000000007, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.0 [2.0000000000000004, 0.0, 0.0] [13.000000000000007, 13.000000000000007, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.1 [2.1000000000000005, 0.0, 0.0] [12.900000000000007, 12.900000000000007, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.2 [2.2000000000000006, 0.0, 0.0] [12.800000000000008, 12.800000000000008, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.3000000000000003 [2.3000000000000007, 0.0, 0.0] [12.700000000000008, 12.700000000000008, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.4000000000000004 [2.400000000000001, 0.0, 0.0] [12.600000000000009, 12.600000000000009, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.5 [2.500000000000001, 0.0, 0.0] [12.500000000000009, 12.500000000000009, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.6 [2.600000000000001, 0.0, 0.0] [12.40000000000001, 12.40000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.7 [2.700000000000001, 0.0, 0.0] [12.30000000000001, 12.30000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.8000000000000003 [2.800000000000001, 0.0, 0.0] [12.20000000000001, 12.20000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
2.9000000000000004 [2.9000000000000012, 0.0, 0.0] [12.10000000000001, 12.10000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
3.0 [3.0000000000000013, 0.0, 0.0] [12.00000000000001, 12.00000000000001, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
3.1 [3.1000000000000014, 0.0, 0.0] [11.900000000000011, 11.900000000000011, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
3.2 [3.2000000000000015, 0.0, 0.0] [11.800000000000011, 11.800000000000011, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
3.3000000000000003 [3.3000000000000016, 0.0, 0.0] [11.700000000000012, 11.700000000000012, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
3.4000000000000004 [3.4000000000000017, 0.0, 0.0] [11.600000000000012, 11.600000000000012, 0.0] [1.0, 0.0, 0.0] [-1.0, -1.0, 0.0]
